id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
234,Leicester,M,Choudhury,4.900,4.900,0.000,0.039,0.121,0.069,0.073,0.036,0.097,0.124
235,Leicester,M,Barnes,7.000,7.000,2.764,4.087,4.261,3.126,3.539,3.362,2.669,4.181
236,Leicester,M,Ndidi,5.000,5.000,1.881,2.348,2.395,2.027,2.126,2.135,1.784,2.377
237,Leicester,D,Benkovic,4.400,4.400,0.000,0.245,0.438,0.356,0.443,0.608,0.296,0.906
238,Leicester,D,Söyüncü,5.500,5.500,1.165,3.526,3.667,2.176,2.706,3.060,1.354,3.760
239,Leicester,D,Justin,4.600,4.500,1.232,3.496,3.674,2.219,2.807,3.110,1.473,3.818
240,Leicester,D,Thomas,4.400,4.400,0.016,0.087,0.092,0.059,0.073,0.080,0.041,0.099
241,Liverpool,M,Milner,5.400,5.400,0.445,0.378,0.378,0.425,0.496,0.366,0.461,0.460
242,Liverpool,D,Tsimikas,4.900,4.900,0.783,0.479,0.611,0.622,0.552,0.343,0.538,0.675
243,Liverpool,M,Wijnaldum,5.500,5.500,2.272,2.242,2.107,2.180,2.228,1.644,2.025,1.963
244,Liverpool,M,Henderson,5.500,5.500,1.611,2.773,2.482,2.682,2.739,1.969,2.487,2.590
245,Liverpool,G,Adrián,4.500,4.500,0.000,0.047,0.044,0.050,0.144,0.071,0.134,0.140
246,Liverpool,D,Matip,5.500,5.500,0.000,0.000,0.465,0.930,1.139,0.573,1.227,1.417
247,Liverpool,M,Shaqiri,6.400,6.400,0.063,0.280,0.294,0.268,0.430,0.352,0.389,0.389
248,Liverpool,M,Chamberlain,6.500,6.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
249,Liverpool,F,Firmino,9.400,9.400,4.834,5.298,4.335,4.889,5.204,3.563,4.635,4.509
